Image_Path,Predicted_Class,Ground_Truth
ed4/alldata/5/79.png,0,0
ed4/alldata/3/116.png,2,3
ed4/alldata/3/67.png,4,4
ed4/alldata/5/61.png,1,1
ed4/alldata/3/112.png,4,4
ed4/alldata/1/149.png,2,2
ed4/alldata/3/38.png,2,2
ed4/alldata/4/290.png,4,4
ed4/alldata/3/454.png,3,3
ed4/alldata/2/360.png,4,4
ed4/alldata/5/238.png,4,4
ed4/alldata/5/458.png,4,3
ed4/alldata/5/64.png,4,4
ed4/alldata/1/93.png,1,3
ed4/alldata/1/396.png,4,4
ed4/alldata/3/102.png,2,1
ed4/alldata/4/254.png,2,2
ed4/alldata/3/436.png,4,4
ed4/alldata/1/374.png,3,4
ed4/alldata/5/300.png,3,4
ed4/alldata/2/54.png,4,4
ed4/alldata/5/555.png,0,1
ed4/alldata/1/247.png,4,3
ed4/alldata/2/94.png,2,1
ed4/alldata/5/153.png,4,4
ed4/alldata/2/125.png,0,2
ed4/alldata/3/182.png,4,3
ed4/alldata/5/37.png,4,4
ed4/alldata/4/218.png,2,3
ed4/alldata/3/76.png,0,1
ed4/alldata/5/619.png,4,4
ed4/alldata/4/167.png,1,1
ed4/alldata/3/311.png,1,1
ed4/alldata/3/248.png,2,4
ed4/alldata/1/240.png,1,1
ed4/alldata/2/228.png,4,4
ed4/alldata/5/45.png,2,2
ed4/alldata/1/201.png,3,2
ed4/alldata/3/255.png,3,3
ed4/alldata/2/366.png,3,3
ed4/alldata/4/217.png,3,3
ed4/alldata/5/159.png,0,1
ed4/alldata/5/199.png,2,2
ed4/alldata/5/596.png,1,1
ed4/alldata/2/364.png,4,4
ed4/alldata/5/398.png,2,2
ed4/alldata/4/229.png,1,0
ed4/alldata/3/46.png,3,3
ed4/alldata/5/99.png,0,1
ed4/alldata/3/470.png,2,2
ed4/alldata/5/541.png,3,3
ed4/alldata/4/181.png,1,0
ed4/alldata/5/402.png,4,4
ed4/alldata/5/109.png,2,2
ed4/alldata/2/187.png,4,4
ed4/alldata/5/330.png,4,4
ed4/alldata/5/477.png,1,1
ed4/alldata/2/55.png,1,2
ed4/alldata/5/53.png,4,3
ed4/alldata/3/110.png,1,1
ed4/alldata/2/122.png,0,0
ed4/alldata/5/129.png,1,1
ed4/alldata/5/299.png,2,2
ed4/alldata/1/153.png,0,2
ed4/alldata/5/79.png,4,3
ed4/alldata/3/116.png,2,2
ed4/alldata/3/67.png,4,3
ed4/alldata/5/61.png,4,4
ed4/alldata/3/112.png,4,4
ed4/alldata/1/149.png,1,1
ed4/alldata/3/38.png,2,2
ed4/alldata/4/290.png,4,3
ed4/alldata/3/454.png,1,1
ed4/alldata/2/360.png,0,1
ed4/alldata/5/238.png,0,0
ed4/alldata/5/458.png,2,2
ed4/alldata/5/64.png,0,2
ed4/alldata/1/93.png,2,2
ed4/alldata/1/396.png,4,4
ed4/alldata/3/102.png,4,4
ed4/alldata/4/254.png,2,2
ed4/alldata/3/436.png,2,3
ed4/alldata/1/374.png,2,4
ed4/alldata/5/300.png,4,3
ed4/alldata/2/54.png,2,2
ed4/alldata/5/555.png,2,2
ed4/alldata/1/247.png,1,1
ed4/alldata/2/94.png,0,1
ed4/alldata/5/153.png,1,1
ed4/alldata/2/125.png,0,1
ed4/alldata/3/182.png,4,4
ed4/alldata/5/37.png,2,2
ed4/alldata/4/218.png,4,3
ed4/alldata/3/76.png,1,0
ed4/alldata/5/619.png,0,0
ed4/alldata/4/167.png,0,2
ed4/alldata/3/311.png,3,4
ed4/alldata/3/248.png,0,0
ed4/alldata/1/240.png,4,4
ed4/alldata/2/228.png,4,3
ed4/alldata/5/45.png,0,0
ed4/alldata/1/201.png,1,0
ed4/alldata/3/255.png,0,0
ed4/alldata/2/366.png,4,4
ed4/alldata/4/217.png,4,0
ed4/alldata/5/159.png,1,1
ed4/alldata/5/199.png,2,2
ed4/alldata/5/596.png,4,4
ed4/alldata/2/364.png,4,4
ed4/alldata/5/398.png,4,4
ed4/alldata/4/229.png,3,2
ed4/alldata/3/46.png,4,4
ed4/alldata/5/99.png,1,1
ed4/alldata/3/470.png,1,1
ed4/alldata/5/541.png,2,2
ed4/alldata/4/181.png,0,1
ed4/alldata/5/402.png,2,4
ed4/alldata/5/109.png,0,0
ed4/alldata/2/187.png,3,3
ed4/alldata/5/330.png,4,3
ed4/alldata/5/477.png,0,0
ed4/alldata/2/55.png,1,0
ed4/alldata/5/53.png,0,1
ed4/alldata/3/110.png,0,0
ed4/alldata/2/122.png,0,0
ed4/alldata/5/129.png,4,3
ed4/alldata/5/299.png,4,4
ed4/alldata/1/153.png,3,3
ed4/alldata/5/79.png,1,0
ed4/alldata/3/116.png,4,3
ed4/alldata/3/67.png,1,1
ed4/alldata/5/61.png,3,3
ed4/alldata/3/112.png,2,1
ed4/alldata/1/149.png,4,3
ed4/alldata/3/38.png,1,0
ed4/alldata/4/290.png,4,4
ed4/alldata/3/454.png,1,2
ed4/alldata/2/360.png,0,0
ed4/alldata/5/238.png,1,1
ed4/alldata/5/458.png,1,0
ed4/alldata/5/64.png,3,4
ed4/alldata/1/93.png,3,4
ed4/alldata/1/396.png,0,0
ed4/alldata/3/102.png,2,2
ed4/alldata/4/254.png,4,4
ed4/alldata/3/436.png,1,1
ed4/alldata/1/374.png,2,3
ed4/alldata/5/300.png,2,2
ed4/alldata/2/54.png,1,1
ed4/alldata/5/555.png,2,2
ed4/alldata/1/247.png,1,2
ed4/alldata/2/94.png,2,1
ed4/alldata/5/153.png,1,0
ed4/alldata/2/125.png,0,0
ed4/alldata/3/182.png,2,1
ed4/alldata/5/37.png,2,2
ed4/alldata/4/218.png,0,1
ed4/alldata/3/76.png,2,2
ed4/alldata/5/619.png,2,0
ed4/alldata/4/167.png,4,4
ed4/alldata/3/311.png,1,0
ed4/alldata/3/248.png,0,0
ed4/alldata/1/240.png,0,0
ed4/alldata/2/228.png,4,3
ed4/alldata/5/45.png,3,2
ed4/alldata/1/201.png,4,2
ed4/alldata/3/255.png,4,4
ed4/alldata/2/366.png,3,4
ed4/alldata/4/217.png,0,1
ed4/alldata/5/159.png,4,4
ed4/alldata/5/199.png,1,1
ed4/alldata/5/596.png,4,4
ed4/alldata/2/364.png,0,0
ed4/alldata/5/398.png,2,2
ed4/alldata/4/229.png,0,0
ed4/alldata/3/46.png,1,1
ed4/alldata/5/99.png,2,2
ed4/alldata/3/470.png,4,4
ed4/alldata/5/541.png,2,2
ed4/alldata/4/181.png,2,1
ed4/alldata/5/402.png,3,4
ed4/alldata/5/109.png,0,0
ed4/alldata/2/187.png,0,0
ed4/alldata/5/330.png,0,0
ed4/alldata/5/477.png,4,4
ed4/alldata/2/55.png,4,4
ed4/alldata/5/53.png,4,4
ed4/alldata/3/110.png,2,3
ed4/alldata/2/122.png,1,2
ed4/alldata/5/129.png,0,1
ed4/alldata/5/299.png,2,3
ed4/alldata/1/153.png,0,1
ed4/alldata/5/79.png,2,2
ed4/alldata/3/116.png,3,3
ed4/alldata/3/67.png,4,4
ed4/alldata/5/61.png,1,1
ed4/alldata/3/112.png,4,2
ed4/alldata/1/149.png,3,2
ed4/alldata/3/38.png,0,0
ed4/alldata/4/290.png,1,1
ed4/alldata/3/454.png,4,4
ed4/alldata/2/360.png,1,1
ed4/alldata/5/238.png,0,0
ed4/alldata/5/458.png,0,1
ed4/alldata/5/64.png,0,0
ed4/alldata/1/93.png,4,4
ed4/alldata/1/396.png,4,4
ed4/alldata/3/102.png,0,0
ed4/alldata/4/254.png,3,2
ed4/alldata/3/436.png,3,3
ed4/alldata/1/374.png,3,4
ed4/alldata/5/300.png,0,0
ed4/alldata/2/54.png,4,4
ed4/alldata/5/555.png,2,0
ed4/alldata/1/247.png,0,0
ed4/alldata/2/94.png,1,0
ed4/alldata/5/153.png,2,2
ed4/alldata/2/125.png,0,0
ed4/alldata/3/182.png,3,4
ed4/alldata/5/37.png,4,4
ed4/alldata/4/218.png,0,0
ed4/alldata/3/76.png,2,2
ed4/alldata/5/619.png,3,2
ed4/alldata/4/167.png,1,1
ed4/alldata/3/311.png,1,1
ed4/alldata/3/248.png,3,3
ed4/alldata/1/240.png,2,2
ed4/alldata/2/228.png,4,3
ed4/alldata/5/45.png,4,3
ed4/alldata/1/201.png,3,2
ed4/alldata/3/255.png,4,4
ed4/alldata/2/366.png,4,4
ed4/alldata/4/217.png,3,4
ed4/alldata/5/159.png,0,1
ed4/alldata/5/199.png,3,3
ed4/alldata/5/596.png,3,3
ed4/alldata/2/364.png,4,4
ed4/alldata/5/398.png,2,2
ed4/alldata/4/229.png,4,4
ed4/alldata/3/46.png,3,4
ed4/alldata/5/99.png,0,0
ed4/alldata/3/470.png,4,3
ed4/alldata/5/541.png,4,4
ed4/alldata/4/181.png,0,1
ed4/alldata/5/402.png,0,0
ed4/alldata/5/109.png,4,4
ed4/alldata/2/187.png,0,0
ed4/alldata/5/330.png,2,2
ed4/alldata/5/477.png,0,1
ed4/alldata/2/55.png,1,1
ed4/alldata/5/53.png,3,4
ed4/alldata/3/110.png,1,1
ed4/alldata/2/122.png,3,3
ed4/alldata/5/129.png,4,3
ed4/alldata/5/299.png,2,2
ed4/alldata/1/153.png,1,2
ed4/alldata/5/79.png,1,1
ed4/alldata/3/116.png,3,4
ed4/alldata/3/67.png,0,2
ed4/alldata/5/61.png,4,4
ed4/alldata/3/112.png,0,1
ed4/alldata/1/149.png,4,4
ed4/alldata/3/38.png,2,3
ed4/alldata/4/290.png,2,2
ed4/alldata/3/454.png,1,1
ed4/alldata/2/360.png,2,2
ed4/alldata/5/238.png,2,3
ed4/alldata/5/458.png,1,1
ed4/alldata/5/64.png,2,3
ed4/alldata/1/93.png,1,1
ed4/alldata/1/396.png,2,2
ed4/alldata/3/102.png,4,4
ed4/alldata/4/254.png,2,2
ed4/alldata/3/436.png,4,4
ed4/alldata/1/374.png,2,2
ed4/alldata/5/300.png,2,3
ed4/alldata/2/54.png,4,4
ed4/alldata/5/555.png,2,1
ed4/alldata/1/247.png,4,4
ed4/alldata/2/94.png,4,4
ed4/alldata/5/153.png,1,4
ed4/alldata/2/125.png,0,1
ed4/alldata/3/182.png,2,2
ed4/alldata/5/37.png,4,4
ed4/alldata/4/218.png,2,3
ed4/alldata/3/76.png,2,2
ed4/alldata/5/619.png,0,0
ed4/alldata/4/167.png,1,1
ed4/alldata/3/311.png,3,2
ed4/alldata/3/248.png,0,2
ed4/alldata/1/240.png,4,4
ed4/alldata/2/228.png,0,0
ed4/alldata/5/45.png,2,2
ed4/alldata/1/201.png,4,4
ed4/alldata/3/255.png,2,1
ed4/alldata/2/366.png,0,1
ed4/alldata/4/217.png,4,4
ed4/alldata/5/159.png,4,4
ed4/alldata/5/199.png,1,1
ed4/alldata/5/596.png,0,1
ed4/alldata/2/364.png,4,4
ed4/alldata/5/398.png,4,2
ed4/alldata/4/229.png,0,0
ed4/alldata/3/46.png,2,3
ed4/alldata/5/99.png,1,1
ed4/alldata/3/470.png,2,2
ed4/alldata/5/541.png,4,4
ed4/alldata/4/181.png,0,0
ed4/alldata/5/402.png,4,3
ed4/alldata/5/109.png,0,0
ed4/alldata/2/187.png,0,0
ed4/alldata/5/330.png,0,0
ed4/alldata/5/477.png,3,4
ed4/alldata/2/55.png,3,3
ed4/alldata/5/53.png,0,0
ed4/alldata/3/110.png,0,0
ed4/alldata/2/122.png,2,3
ed4/alldata/5/129.png,3,3
ed4/alldata/5/299.png,4,4
ed4/alldata/1/153.png,1,1
ed4/alldata/5/79.png,0,1
ed4/alldata/3/116.png,3,3
ed4/alldata/3/67.png,1,0
ed4/alldata/5/61.png,1,1
ed4/alldata/3/112.png,1,2
ed4/alldata/1/149.png,0,0
ed4/alldata/3/38.png,0,0
ed4/alldata/4/290.png,0,1
ed4/alldata/3/454.png,4,4
ed4/alldata/2/360.png,1,2
ed4/alldata/5/238.png,4,4
ed4/alldata/5/458.png,4,4
ed4/alldata/5/64.png,3,4
ed4/alldata/1/93.png,4,4
ed4/alldata/1/396.png,2,4
ed4/alldata/3/102.png,4,4
ed4/alldata/4/254.png,4,4
ed4/alldata/3/436.png,2,2
ed4/alldata/1/374.png,4,4
ed4/alldata/5/300.png,1,1
ed4/alldata/2/54.png,2,2
ed4/alldata/5/555.png,3,3
ed4/alldata/1/247.png,0,0
ed4/alldata/2/94.png,4,4
ed4/alldata/5/153.png,2,2
ed4/alldata/2/125.png,0,0
ed4/alldata/3/182.png,1,0
ed4/alldata/5/37.png,4,4
ed4/alldata/4/218.png,4,4
ed4/alldata/3/76.png,3,4
ed4/alldata/5/619.png,4,4
ed4/alldata/4/167.png,4,3
ed4/alldata/3/311.png,4,4
ed4/alldata/3/248.png,0,1
ed4/alldata/1/240.png,0,0
ed4/alldata/2/228.png,1,1
ed4/alldata/5/45.png,2,1
ed4/alldata/1/201.png,3,3
ed4/alldata/3/255.png,3,4
ed4/alldata/2/366.png,4,4
ed4/alldata/4/217.png,4,4
ed4/alldata/5/159.png,1,0
ed4/alldata/5/199.png,3,3
ed4/alldata/5/596.png,0,1
ed4/alldata/2/364.png,2,2
ed4/alldata/5/398.png,0,1
ed4/alldata/4/229.png,0,1
ed4/alldata/3/46.png,0,0
