Image_Path,Predicted_Class,Ground_Truth
ed4/alldata/1/324.png,1,1
ed4/alldata/2/225.png,1,1
ed4/alldata/2/245.png,2,1
ed4/alldata/1/191.png,1,1
ed4/alldata/3/470.png,4,4
ed4/alldata/5/308.png,1,1
ed4/alldata/5/6.png,4,4
ed4/alldata/5/592.png,4,4
ed4/alldata/1/319.png,2,4
ed4/alldata/5/473.png,0,1
ed4/alldata/3/106.png,2,1
ed4/alldata/2/192.png,0,0
ed4/alldata/4/154.png,3,2
ed4/alldata/1/214.png,4,3
ed4/alldata/1/54.png,2,1
ed4/alldata/2/56.png,2,1
ed4/alldata/2/80.png,1,1
ed4/alldata/3/99.png,2,3
ed4/alldata/4/7.png,0,2
ed4/alldata/5/570.png,0,0
ed4/alldata/5/347.png,2,3
ed4/alldata/1/138.png,0,1
ed4/alldata/2/256.png,4,4
ed4/alldata/4/34.png,4,3
ed4/alldata/4/195.png,0,0
ed4/alldata/5/266.png,2,1
ed4/alldata/5/215.png,2,2
ed4/alldata/1/277.png,1,0
ed4/alldata/3/389.png,4,4
ed4/alldata/3/292.png,4,3
ed4/alldata/5/416.png,4,4
ed4/alldata/1/257.png,2,0
ed4/alldata/5/349.png,2,2
ed4/alldata/5/33.png,0,0
ed4/alldata/5/307.png,1,2
ed4/alldata/5/36.png,2,3
ed4/alldata/1/47.png,0,1
ed4/alldata/1/262.png,1,1
ed4/alldata/1/356.png,4,3
ed4/alldata/3/92.png,4,4
ed4/alldata/1/328.png,1,1
ed4/alldata/1/158.png,0,0
ed4/alldata/1/436.png,0,0
ed4/alldata/1/268.png,1,1
ed4/alldata/4/39.png,4,4
ed4/alldata/3/174.png,2,2
ed4/alldata/4/359.png,4,3
ed4/alldata/2/366.png,0,0
ed4/alldata/2/355.png,1,1
ed4/alldata/5/457.png,0,0
ed4/alldata/2/60.png,3,3
ed4/alldata/3/233.png,1,2
ed4/alldata/3/279.png,0,0
ed4/alldata/5/317.png,1,0
ed4/alldata/5/655.png,0,0
ed4/alldata/5/640.png,1,2
ed4/alldata/5/143.png,2,2
ed4/alldata/2/183.png,4,4
ed4/alldata/1/452.png,0,0
ed4/alldata/1/233.png,4,4
ed4/alldata/3/127.png,1,0
ed4/alldata/1/222.png,2,4
ed4/alldata/1/451.png,4,4
ed4/alldata/1/340.png,1,2
ed4/alldata/1/324.png,4,3
ed4/alldata/2/225.png,4,3
ed4/alldata/2/245.png,4,2
ed4/alldata/1/191.png,2,2
ed4/alldata/3/470.png,0,0
ed4/alldata/5/308.png,4,4
ed4/alldata/5/6.png,4,4
ed4/alldata/5/592.png,1,1
ed4/alldata/1/319.png,4,4
ed4/alldata/5/473.png,4,4
ed4/alldata/3/106.png,0,0
ed4/alldata/2/192.png,1,2
ed4/alldata/4/154.png,3,2
ed4/alldata/1/214.png,2,2
ed4/alldata/1/54.png,4,3
ed4/alldata/2/56.png,4,4
ed4/alldata/2/80.png,4,4
ed4/alldata/3/99.png,4,4
ed4/alldata/4/7.png,2,2
ed4/alldata/5/570.png,2,2
ed4/alldata/5/347.png,0,0
ed4/alldata/1/138.png,1,0
ed4/alldata/2/256.png,0,0
ed4/alldata/4/34.png,2,2
ed4/alldata/4/195.png,1,4
ed4/alldata/5/266.png,4,4
ed4/alldata/5/215.png,4,4
ed4/alldata/1/277.png,4,4
ed4/alldata/3/389.png,1,2
ed4/alldata/3/292.png,4,4
ed4/alldata/5/416.png,2,3
ed4/alldata/1/257.png,0,0
ed4/alldata/5/349.png,2,2
ed4/alldata/5/33.png,1,0
ed4/alldata/5/307.png,2,2
ed4/alldata/5/36.png,0,0
ed4/alldata/1/47.png,1,1
ed4/alldata/1/262.png,4,3
ed4/alldata/1/356.png,2,1
ed4/alldata/3/92.png,4,4
ed4/alldata/1/328.png,4,4
ed4/alldata/1/158.png,3,3
ed4/alldata/1/436.png,2,4
ed4/alldata/1/268.png,3,4
ed4/alldata/4/39.png,0,0
ed4/alldata/3/174.png,0,2
ed4/alldata/4/359.png,3,3
ed4/alldata/2/366.png,2,2
ed4/alldata/2/355.png,1,1
ed4/alldata/5/457.png,0,0
ed4/alldata/2/60.png,3,3
ed4/alldata/3/233.png,1,0
ed4/alldata/3/279.png,1,1
ed4/alldata/5/317.png,2,2
ed4/alldata/5/655.png,0,0
ed4/alldata/5/640.png,1,0
ed4/alldata/5/143.png,4,4
ed4/alldata/2/183.png,0,0
ed4/alldata/1/452.png,2,2
ed4/alldata/1/233.png,2,2
ed4/alldata/3/127.png,4,4
ed4/alldata/1/222.png,2,1
ed4/alldata/1/451.png,0,1
ed4/alldata/1/340.png,2,2
ed4/alldata/1/324.png,4,4
ed4/alldata/2/225.png,2,1
ed4/alldata/2/245.png,4,4
ed4/alldata/1/191.png,0,0
ed4/alldata/3/470.png,4,3
ed4/alldata/5/308.png,1,1
